No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
47053,WISEA J234112.78+005120.9,23h41m12.7858s,+00d51m20.941s,355.3032745,0.855817,QSO,265037.119620091,0.88406867,SLS,48.3840756584013,31,0,47,12,19,8,0,1,0,1
47074,SDSS J234104.39+004844.5,23h41m04.3907s,+00d48m44.540s,355.2682948559,0.8123724237,G,184339.38449962,0.61489,SLS,48.3959531859651,2,0,23,3,1,4,0,0,0,1
47262,WISEA J234235.28+010534.8,23h42m35.2783s,+01d05m35.059s,355.646993,1.093072,*,4.12624925708019,1.3763686e-05,SLS,48.4867874901072,0,0,23,4,1,4,0,0,0,1
47348,WISEA J234027.16+002600.0,23h40m27.1615s,+00d26m00.044s,355.1131729,0.4333458,G,244065.357069195,0.8141144,SLS,48.5249407739848,11,0,36,11,8,4,0,0,0,1
47407,WISEA J234643.08+000350.6,23h46m43.0833s,+00d03m50.609s,356.6795139,0.0640581,G,247099.736412088,0.824236,SUN,48.5594542760042,13,0,29,8,7,4,0,0,0,1
47472,[HB89] 2342+008,23h44m42.4752s,+01d05m50.053s,356.17698,1.0972371,QSO,341797.698377195,1.1401144,SLS,48.5880909979139,29,0,21,8,12,4,0,1,0,1
47523,WISEA J234653.47+001544.2,23h46m53.4793s,+00d15m44.286s,356.7228307,0.2623018,QSO,476431.613257398,1.5892048,SLS,48.6183874991934,42,0,62,17,26,8,0,1,0,1
47537,WISEA J234643.37+003551.7,23h46m43.3759s,+00d35m51.710s,356.6807332,0.5976973,*,30.5932267498332,0.00010204802,SLS,48.6291156606282,0,0,23,4,1,4,0,0,0,1
47589,WISEA J234640.70+000157.8,23h46m40.7030s,+00d01m57.814s,356.6695962,0.0327262,*,0.203567083440629,6.790267e-07,SLS,48.6572893861559,0,0,30,6,1,4,0,0,0,1
47655,WISEA J234337.75+010832.0,23h43m37.7448s,+01d08m32.208s,355.90727,1.1422802,G,86313.5283876905,0.28791094,SLS,48.6892649892886,1,0,31,4,1,4,0,0,0,1
47712,WISEA J234650.37+000947.2,23h46m50.3733s,+00d09m47.200s,356.7098888,0.1631112,G,121055.774830959,0.4037986,SLS,48.7185447948161,2,0,27,3,1,4,0,0,0,1
47765,SDSS J234619.09+004756.5,23h46m19.0953s,+00d47m56.561s,356.5795638414,0.7990449598,G,192844.49653308,0.64326,SLS,48.7541387368297,2,0,19,2,1,3,0,0,0,1
47833,SDSS J234035.73+003609.2,23h40m35.7370s,+00d36m09.226s,355.1489044559,0.6025628499,G,193665.927868,0.646,SLS,48.793603733854,2,0,19,2,1,4,0,0,0,1
47888,SDSS J234024.78+002248.1,23h40m24.7801s,+00d22m48.186s,355.1032506618,0.3800519296,G,145426.32345122,0.48509,SLS,48.818418638611,2,0,19,2,1,4,0,0,0,1
47904,SDSS J234306.20+010757.1,23h43m06.2088s,+01d07m57.172s,355.77587,1.132548,G,16004.9899760002,0.0533869,SLS,48.8259990725887,1,0,20,4,1,4,0,0,0,1
47914,WISEA J234653.66+002539.5,23h46m53.6248s,+00d25m40.711s,356.7234369381,0.4279753188,G,60126.37537648,0.20056,SLS,48.8292609675743,2,0,27,2,1,4,0,0,0,1
